"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Westburg, Jordan","676059","249","14.1",30.1,"111.8","90.2","101.3","94.6","86.8","461","172","397","108",43.4,"28",11.2,8
"Jones, Nolan","666134","246","13",35.8,"112.7","90.8","101.5","94.5","88.1","428","165","413","115",46.7,"21",8.5,5.2
"Mountcastle, Ryan","663624","240","9.1",37.5,"116.7","90.7","101.7","95.3","86.6","434","165","404","113",47.1,"28",11.7,7.8
"Taylor, Tyrone","621438","239","19.4",40.2,"109.5","86.5","98.3","89","87","407","171","402","84",35.1,"9",3.8,2.6
"Gonzalez, Romy","663853","239","5.5",33.5,"112.6","93.3","104.2","96.6","90.8","454","152","413","137",57.3,"30",12.6,8.8
"Walker, Jordan","691023","238","10.3",29,"117.9","92.3","104.4","96","92.6","434","154","414","119",50,"26",10.9,6.6
"Acuña Jr., Ronald","660670","236","13.5",30.9,"115.5","92.6","105","95.9","90.7","468","171","419","123",52.1,"37",15.7,9
"Muncy, Max","571970","235","19.6",37.4,"110.5","91.3","101.9","95.2","84.6","433","200","400","121",51.5,"32",13.6,8.2
"Schmitt, Casey","669477","233","19.2",40.3,"111.6","89.5","100.7","93.6","84.6","423","190","394","102",43.8,"21",9,6
"Wallner, Matt","670242","224","21.1",33.9,"113.8","91","102.8","96","85.3","452","188","406","102",45.5,"31",13.8,7.9
"Caballero, José","676609","222","17.4",36.5,"114.4","86","97.8","90.4","81.4","423","164","369","68",30.6,"13",5.9,3.5
"Gorman, Nolan","669357","219","22.3",38.8,"111.6","89.6","100.5","93.8","82.6","433","209","409","90",41.1,"20",9.1,5
"Bleday, JJ","668709","217","20.5",29.5,"109.9","88.7","99.5","93.2","86.9","428","178","386","84",38.7,"17",7.8,4.9
"Cowser, Colton","681297","199","13.8",32.7,"113.7","90.9","101.6","96.2","85.7","455","177","405","91",46,"28",14.1,7.8
"Stephenson, Tyler","663886","187","12.9",42.2,"107.9","90.5","100.9","94.9","85","435","191","387","92",49.2,"27",14.4,7.9
